City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
538,Bac Lieu,VN,80.64,scattered clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
550,Mae Ramat,TH,80.85,few clouds,16.984,98.5166,บ้านโฮ่งโฮมสเตย์ แม่ระมาด ตาก
560,Puerto Escondido,MX,83.55,few clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
561,Dwarka,IN,82.35,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
562,Samarai,PG,83.97,broken clouds,-10.6167,150.6667,Nuli Sapi
565,Saint-Joseph,RE,79.18,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
569,Mackay,AU,75.69,overcast clouds,-21.15,149.2,International Lodge Motel
576,Haapiti,PF,78.53,light rain,-17.5667,-149.8667,Linareva Moorea Beach Resort
588,Itarema,BR,81.57,light rain,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
591,Tecoanapa,MX,80.87,few clouds,16.5167,-98.75,Hotel Manglares
592,Veinticinco De Mayo,AR,76.41,clear sky,-35.4323,-60.1727,Estancia La Rosada
599,Ambilobe,MG,80.89,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
605,Lethem,GY,78.71,overcast clouds,3.3803,-59.7968,Savannah Inn
612,Olinda,BR,82.13,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
618,Tibacuy,CO,83.32,broken clouds,4.3511,-72.4564,hospedaje las palmas
619,Inirida,CO,79.45,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
620,Emerald,AU,75.34,clear sky,-23.5333,148.1667,The Irish Village
621,Vieux-Habitants,GP,81.97,overcast clouds,16.0589,-61.7659,Gîtes Dardanelle
630,Nkhata Bay,MW,78.04,scattered clouds,-11.6066,34.2907,Mayoka Village
638,Vaitape,PF,82.04,scattered clouds,-16.5167,-151.75,Conrad Bora Bora Nui
639,Mananara,MG,77.88,light rain,-16.1667,49.7667,Chez Roger
646,Kudahuvadhoo,MV,84.92,few clouds,2.6708,72.8944,Niyama Private Islands Maldives
648,Manggar,ID,80.37,overcast clouds,-2.8833,108.2667,Guest Hotel
649,Vao,NC,77.27,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
650,Phangnga,TH,82.44,broken clouds,8.4509,98.5298,Sunimit Mansion
651,Cabaiguan,CU,75.22,scattered clouds,22.0789,-79.4992,Hostal Dumar y Ania
660,Sao Sebastiao,BR,79.45,broken clouds,-23.76,-45.4097,Hotel Recanto dos Pássaros
664,Buala,SB,79.38,light rain,-8.145,159.5921,Maringe Lagoon Lodge
665,Santa Rosa,PH,82.38,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
667,Cockburn Town,TC,78.58,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
669,Petatlan,MX,80.64,few clouds,17.5167,-101.2667,Hotel California Petatlán
671,Isangel,VU,80.06,few clouds,-19.55,169.2667,Tanna Lodge
672,Sulangan,PH,77.83,heavy intensity rain,11.1373,123.7228,Maia's Beach Resort
